CREATE_DATE,OPERATOR,TYPE,PARTNUMBER,LOTID,VERSION,UNIT,DATA_VOL,DATA1,DATA2,DATA3,DATA4,DATA5,DATA6,DATA7,DATA8,DATA9,DATA10,DATA11,DATA12,DATA13,DATA14,DATA15,DATA16,DATA17,DATA18,DATA19,DATA20,AVERAGE,DATA_MIN,DATA_MAX,DATA_RANGE,SU,SL,UCL,LCL,RS_UCL,USER_COMMENT,ISSUE_NO
20221101215150,HVPQC011,SM-F SOLDER PASTE VOLUME BGA PAD,M471A1G44AB0-CWED0-60B,T0CH000244,0,%,5,103.8,124.4,124.6,121.0,120.0,,,,,,,,,,,,,,,,118.76,103.8,124.6,20.8,180.0,50.0,122.52,107.2,28.09,,
20221101215150,HVPQC011,SM-L1 SOLDER PASTE VOLUME BGA PAD,M393A4K40EB3-CWEGY-6SC,H0B8000244,0,%,5,115.8,111.1,108.9,109.1,105.7,,,,,,,,,,,,,,,,110.12,105.7,115.8,10.1,180.0,50.0,121.33,107.1,26.08,,
20221101215150,HVPQC011,SM-L2 SOLDER PASTE VOLUME BGA PAD,M393A4K40EB3-CWEGY-6SC,H0B8000244,1,%,5,110.2,113.7,118.6,120.1,123.6,,,,,,,,,,,,,,,,117.24,110.2,123.6,13.4,180.0,50.0,123.36,105.63,32.5,,
20221101215150,HVPQC011,SM-O1 SOLDER PASTE VOLUME BGA PAD,M393A8G40BB4-CWECO-6SC,H0LG000244,0,%,5,119.9,114.9,105.5,108.4,113.3,,,,,,,,,,,,,,,,112.4,105.5,119.9,14.4,180.0,50.0,124.43,109.46,27.43,,
20221101215658,HVPQC011,SM-J1 SOLDER PASTE VOLUME BGA PAD,M393A4K40EB3-CWEGY-6SC,H0A4000244,0,%,5,124.9,117.6,118.3,115.9,120.6,,,,,,,,,,,,,,,,119.46,115.9,124.9,9.0,180.0,50.0,123.23,104.88,33.63,,S20221101078
20221101215830,HVPQC011,SM-J2 SOLDER PASTE VOLUME BGA PAD,M393A4K40EB3-CWEGY-6SC,H0A4000244,1,%,5,110.8,102.5,117.5,116.3,109.7,,,,,,,,,,,,,,,,111.36,102.5,117.5,15.0,180.0,50.0,121.54,105.04,30.24,,
20221101215830,HVPQC011,SM-K1 SOLDER PASTE VOLUME BGA PAD,M393A4K40EB3-CWECO-6SC,H0B7000244,0,%,5,112.8,116.7,119.2,118.6,123.5,,,,,,,,,,,,,,,,118.16,112.8,123.5,10.7,180.0,50.0,122.18,104.1,33.14,,
20221101215830,HVPQC011,SM-K2 SOLDER PASTE VOLUME BGA PAD,M393A4K40EB3-CWECO-6SC,H0B7000244,1,%,5,113.9,107.8,101.2,108.9,112.8,,,,,,,,,,,,,,,,108.92,101.2,113.9,12.7,180.0,50.0,120.55,104.58,29.27,,
20221101215830,HVPQC011,SM-R1 SOLDER PASTE VOLUME BGA PAD,M393A4K40EB3-CWEGY-6SC,H0B5000244,0,%,5,114.4,116.5,105.7,102.9,111.3,,,,,,,,,,,,,,,,110.16,102.9,116.5,13.6,180.0,50.0,122.41,105.87,30.31,,
20221101215830,HVPQC011,SM-R2 SOLDER PASTE VOLUME BGA PAD,M393A4K40EB3-CWEGY-6SC,H0B5000244,1,%,5,102.3,114.6,102.3,120.0,104.2,,,,,,,,,,,,,,,,108.68,102.3,120.0,17.7,180.0,50.0,123.21,104.77,33.81,,
20221104085722,190300042,SM2A2 SOLDER PASTE VOLUME BGA PAD,MZQL27T6HBLA-00B7C-6V4,H0SH000244,0,%,5,117.6,119.5,120.1,118.3,121.1,,,,,,,,,,,,,,,,119.32,117.6,121.1,3.5,180.0,50.0,180.0,50.0,30.0,,S20221104009
20221109103020,HVPQC010,D4-L/RD-YRT 11 ROUTING PCB DIMENSION CHECK A,M393A8G40BB4-CWECO-6SC,H1AE000245,0,MM,6,133.391,133.404,133.411,133.413,133.362,133.365,,,,,,,,,,,,,,,133.391,133.362,133.413,0.051,133.48,133.22,133.48,133.22,0.13,YRT-11,
20221112023053,HVPQC010,SM-B SOLDER PASTE VOLUME BGA PAD,M471A2G43AB2-CWED0-60B,T0K4000245,0,%,5,119.3,117.6,107.7,112.4,113.6,,,,,,,,,,,,,,,,114.12,107.7,119.3,11.6,180.0,50.0,122.29,107.16,25.9,,
20221112023053,HVPQC010,SM-E SOLDER PASTE VOLUME BGA PAD,M393A2K43DB3-CWEBY-6SC,H0EU000245,0,%,5,115.5,111.6,105.9,116.9,113.8,,,,,,,,,,,,,,,,112.74,105.9,116.9,11.0,180.0,50.0,120.97,106.73,26.11,,
20221112023053,HVPQC010,SM-F SOLDER PASTE VOLUME BGA PAD,M471A1G44AB0-CWED0-60C,H0KA000245,0,%,5,113.9,109.6,117.1,112.7,114.4,,,,,,,,,,,,,,,,113.54,109.6,117.1,7.5,180.0,50.0,122.52,107.2,28.09,,S20221113001
20221112023053,HVPQC010,SM-G SOLDER PASTE VOLUME BGA PAD,M393A4G40BB3-CWEBY-6SC,H0KV000245,0,%,5,114.6,118.3,110.9,119.3,106.9,,,,,,,,,,,,,,,,114.0,106.9,119.3,12.4,180.0,50.0,119.36,103.98,28.18,,
20221112023053,HVPQC010,SM-I1 SOLDER PASTE VOLUME BGA PAD,M393A4K40EB3-CWEBY-6SC,H0KZ000245,0,%,5,119.5,124.0,118.5,122.7,116.2,,,,,,,,,,,,,,,,120.18,116.2,124.0,7.8,180.0,50.0,180.0,50.0,30.31,,S20221113002
20221112023053,HVPQC010,SM-I2 SOLDER PASTE VOLUME BGA PAD,M393A4K40EB3-CWEBY-6SC,H0KZ000245,1,%,5,112.9,118.3,120.8,112.3,114.7,,,,,,,,,,,,,,,,115.8,112.3,120.8,8.5,180.0,50.0,180.0,50.0,30.31,,S20221113003
20221112023053,HVPQC010,SM-J1 SOLDER PASTE VOLUME BGA PAD,M393A4K40EB3-CWEBY-6SC,H0KY000245,0,%,5,123.2,118.4,116.2,120.9,102.4,,,,,,,,,,,,,,,,116.22,102.4,123.2,20.8,180.0,50.0,123.23,104.88,33.63,,
20221112023053,HVPQC010,SM-J2 SOLDER PASTE VOLUME BGA PAD,M393A4K40EB3-CWEBY-6SC,H0KY000245,1,%,5,112.8,105.9,111.4,113.7,116.2,,,,,,,,,,,,,,,,112.0,105.9,116.2,10.3,180.0,50.0,121.54,105.04,30.24,,
20221112023053,HVPQC010,SM-K1 SOLDER PASTE VOLUME BGA PAD,M393A4K40EB3-CWEBY-6SC,H0KS000245,0,%,5,121.8,115.4,118.4,116.3,113.1,,,,,,,,,,,,,,,,117.0,113.1,121.8,8.7,180.0,50.0,122.18,104.1,33.14,,S20221113004
20221112023053,HVPQC010,SM-K2 SOLDER PASTE VOLUME BGA PAD,M393A4K40EB3-CWEBY-6SC,H0KS000245,1,%,5,118.4,119.4,120.4,117.4,110.8,,,,,,,,,,,,,,,,117.28,110.8,120.4,9.6,180.0,50.0,120.55,104.58,29.27,,S20221113005
20221112023053,HVPQC010,SM-L1 SOLDER PASTE VOLUME BGA PAD,M393A4K40EB3-CWEBY-6SC,H0JU000245,0,%,5,117.9,114.7,120.4,116.4,119.7,,,,,,,,,,,,,,,,117.82,114.7,120.4,5.7,180.0,50.0,121.33,107.1,26.08,,S20221113006
20221112023053,HVPQC010,SM-L2 SOLDER PASTE VOLUME BGA PAD,M393A4K40EB3-CWEBY-6SC,H0JU000245,1,%,5,117.5,110.5,108.2,120.8,111.9,,,,,,,,,,,,,,,,113.78,108.2,120.8,12.6,180.0,50.0,123.36,105.63,32.5,,
